150.0463	150.0463	27307.7218
151.0210	151.021	10246.3232
151.0323	151.0323	6533.0641
151.0415	151.0415	86173.664
151.0477	151.0477	9066.3797
151.0497	151.0497	113997.2674
151.0541	151.0541	67260.9938
151.0672	151.0672	9957.4072
151.0865	151.0865	253016.1857
151.0953	151.0953	6143.2417
151.0977	151.0977	57929.0224
151.1229	151.1229	32999.8107
152.0494	152.0494	366018.1533
152.0619	152.0619	3211258.836
152.0704	152.0704	124384.1933
152.0817	152.0817	293394.3748
152.0898	152.0898	14837.2187
152.1069	152.1069	41754.3102
152.1181	152.1181	23029.6893
152.1432	152.1432	20705.7824
153.0294	153.0294	10546.7992
153.0446	153.0446	227288.9267
153.0572	153.0572	916835.0287
153.0655	153.0655	666299.6011
153.0697	153.0697	962131.4622
153.1021	153.1021	150540.7245
153.1133	153.1133	27494.6551
153.1385	153.1385	42718.1806
154.0319	154.0319	14906.1336
154.0650	154.065	11138396.86
154.0860	154.086	32963.299
154.0973	154.0973	135279.1985
154.1224	154.1224	14875.5961
155.0270	155.027	16438.9677
155.0450	155.045	24955.1445
155.0490	155.049	65364.31
155.0602	155.0602	4710085.972
155.0683	155.0683	1324174.758
155.0727	155.0727	1168089.974
155.0812	155.0812	175855.3391
155.0853	155.0853	91944.0789
155.0925	155.0925	127463.0803
155.1096	155.1096	47364.5664
155.1177	155.1177	95267.1448
155.9777	155.9777	10915.0911
156.0030	156.003	9470.6514
156.0110	156.011	10353.7059
156.0442	156.0442	160046.0184
156.0476	156.0476	20658.4467
156.0555	156.0555	78586.2617
156.0614	156.0614	83120.7709
156.0636	156.0636	482601.3856
156.0680	156.068	3989091.896
156.0762	156.0762	110096.3406
156.0806	156.0806	4637267.938
156.1017	156.1017	21602.4808
156.1129	156.1129	34680.4942
156.9983	156.9983	12141.5457
157.0347	157.0347	7644.144
157.0393	157.0393	26175.7894
157.0427	157.0427	8780.4149
157.0521	157.0521	106235.1972
157.0634	157.0634	92942.1235
157.0647	157.0647	137975.6356
157.0670	157.067	7830.2989
157.0716	157.0716	388238.5248
157.0759	157.0759	5625844.247
157.0839	157.0839	508253.7242
157.0884	157.0884	469493.4331
157.0969	157.0969	65605.1384
157.1082	157.1082	369167.4317
158.0150	158.015	33060.8593
158.0184	158.0184	21958.4285
158.0267	158.0267	11153.682
158.0473	158.0473	20199.4936
158.0599	158.0599	583235.0733
158.0632	158.0632	7607.6786
158.0711	158.0711	141947.0479
158.0793	158.0793	580697.1245
158.0837	158.0837	3337269.916
158.0962	158.0962	864200.542
158.1115	158.1115	8163.7298
159.0138	159.0138	57773.3668
159.0262	159.0262	17837.5829
159.0503	159.0503	20305.034
159.0552	159.0552	93561.7881
159.0633	159.0633	44177.7901
159.0678	159.0678	137677.9563
159.0915	159.0915	12452633.36
159.1238	159.1238	23128.2206
160.0213	160.0213	255335.2972
160.0391	160.0391	15067.4328
160.0503	160.0503	11994.8915
160.0629	160.0629	14047.6005
160.0755	160.0755	1152778.322
160.0867	160.0867	178641.0605
160.0885	160.0885	90053.9085
160.0948	160.0948	1327451.681
160.1078	160.1078	49791.7027
